step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
348,0.12735,0.92857,,
349,0.28033,0.88889,,
350,0.74283,0.875,,
351,0.28154,0.94118,,
352,0.62108,0.85714,,
353,0.72941,0.73913,,
354,0.04501,1.0,,
355,0.20016,0.90476,,
356,0.24522,0.95238,,
357,0.38659,0.84615,,
358,0.38732,0.90909,,
359,0.15265,0.94118,,
360,0.10632,0.94118,,
361,0.35368,0.92308,,
362,0.14682,0.96,,
363,0.06427,0.9375,,
364,0.39429,0.8,,
365,1.01202,0.77465,,
366,0.58477,0.89474,,
367,0.82622,0.76923,,
368,0.46035,0.93103,,
369,0.53969,0.73913,,
370,0.27679,0.9375,,
371,0.00759,1.0,,
372,1.36162,0.68966,,
373,0.81284,0.82353,,
374,0.25963,0.91667,,
375,0.52559,0.875,,
376,0.16812,0.94444,,
377,0.00296,1.0,,
378,0.49887,0.83333,,
379,0.01694,1.0,,
380,0.28796,0.84211,,
381,0.2228,0.92593,,
382,0.22541,0.95455,,
383,0.54496,0.71429,,
384,0.11764,1.0,,
385,0.30483,0.92308,,
386,0.30062,0.90909,,
387,0.00183,1.0,,
388,0.28534,0.91304,,
389,0.23575,0.92,,
390,0.12967,1.0,,
391,0.06401,1.0,,
392,0.00076,1.0,,
393,0.00312,1.0,,
394,0.31564,0.88889,,
395,0.98959,0.78333,,
396,0.23206,0.95238,,
397,1.51218,0.75,,
398,0.72348,0.84314,,
399,1.15496,0.72414,,
400,0.43742,0.87097,,
401,0.08019,1.0,,
402,0.06147,1.0,,
403,1.86038,0.625,,
404,0.51654,0.95238,,
405,0.27486,0.86957,,
406,0.1193,0.96078,,
407,0.00012,1.0,,
408,1.30623,0.77778,,
409,0.05148,1.0,,
410,0.25396,0.91892,,
411,0.10952,0.94444,,
412,0.02175,1.0,,
413,0.05716,1.0,,
414,0.00116,1.0,,
415,0.34137,0.875,,
416,1.36807,0.78571,,
417,0.00576,1.0,,
418,0.03596,1.0,,
419,0.27075,0.9,,
420,0.03466,1.0,,
421,0.04409,1.0,,
422,0.0323,1.0,,
423,0.01016,1.0,,
424,0.16198,0.92,,
425,0.01902,1.0,,
426,0.87782,0.73333,,
427,0.11199,0.93333,,
428,0.33282,0.92473,,
429,0.49122,0.875,,
430,0.71647,0.85185,,
431,0.03809,1.0,,
432,0.34659,0.90476,,
433,0.25378,0.93243,,
434,1.34721,0.71053,,
435,1.55857,0.83333,,
436,0.4545,0.875,,
437,0.29623,0.88889,,
438,0.27249,0.88235,,
439,0.52395,0.85714,,
440,0.02996,1.0,,
441,0.31092,0.91667,,
442,0.81374,0.91667,,
443,1.2184,0.74627,,
444,0.3869,0.83333,,
445,0.13738,0.91667,,
446,0.53125,0.9375,,
447,0.26742,0.88889,,
448,0.14997,1.0,,
449,1.22308,0.7963,,
450,0.17942,0.93333,,
451,0.06709,1.0,,
452,0.05109,1.0,,
453,0.66818,0.90323,,
454,0.09945,0.96154,,
455,0.00104,1.0,,
456,0.2606,0.94444,,
457,0.4892,0.82353,,
458,1.1724,0.75,,
459,0.07961,0.96875,,
460,1.39984,0.63636,,
461,9e-05,1.0,,
462,0.30517,0.89655,,
463,0.20462,0.95238,,
464,0.8081,0.7619,,
465,0.50429,0.90741,,
466,0.48461,0.87879,,
467,0.06757,1.0,,
468,0.00291,1.0,,
469,0.06572,1.0,,
470,0.04824,1.0,,
471,0.04691,1.0,,
472,1.04814,0.74074,,
473,0.45672,0.91304,,
474,0.92217,0.77551,,
475,1.06812,0.74242,,
476,1.39253,0.6383,,
477,0.08945,0.92308,,
478,0.28435,0.96154,,
479,1.39825,0.67742,,
480,0.76828,0.82353,,
481,0.16921,0.925,,
482,0.15053,0.91667,,
